Plant Name,Docket Number,License Number,Reactor Type,Location,Owner/Operator,NRC Region
"Arkansas Nuclear 1",			05000313,DPR-51,PWR,"6 miles WNW of Russellville,  AR","Entergy Nuclear Operations, Inc.",4
"Arkansas Nuclear 2",			05000368,NPF-6,PWR,"6 miles WNW of Russellville,  AR","Entergy Nuclear Operations, Inc.",4
"Beaver Valley 1",			05000334,DPR-66,PWR,"17 miles W of McCandless,  PA",Energy Harbor Nuclear Corp.,1
"Beaver Valley 2",			05000412,NPF-73,PWR,"17 miles W of McCandless,  PA",Energy Harbor Nuclear Corp.,1
"Braidwood 1",			05000456,NPF-72,PWR,"20 miles SSW of Joliet,  IL","Exelon Generation Co., LLC",3
"Braidwood 2",			05000457,NPF-77,PWR,"20 miles SSW of Joliet,  IL","Exelon Generation Co., LLC",3
"Browns Ferry 1",			05000259,DPR-33,BWR,"32 miles W of Huntsville, AL",Tennessee Valley Authority,2
"Browns Ferry 2",			05000260,DPR-52,BWR,"32 miles W of Huntsville, AL",Tennessee Valley Authority,2
"Browns Ferry 3",			05000296,DPR-68,BWR,"32 miles W of Huntsville, AL",Tennessee Valley Authority,2
"Brunswick 1",			05000325,DPR-71,BWR,"30 miles S of Wilmington, NC","Duke Energy Progress, LLC",2
"Brunswick 2",			05000324,DPR-62,BWR,"30 miles S of Wilmington, NC","Duke Energy Progress, LLC",2
"Byron 1",			05000454,NPF-37,PWR,"17 miles SW of Rockford,  IL","Exelon Generation Co., LLC",3
"Byron 2",			05000455,NPF-66,PWR,"17 miles SW of Rockford,  IL","Exelon Generation Co., LLC",3
"Callaway",			05000483,NPF-30,PWR,"25 miles ENE of Jefferson City, MO",Ameren UE,4
"Calvert Cliffs 1",			05000317,DPR-53,PWR,"40 miles S of Annapolis,  MD",Constellation Energy,1
"Calvert Cliffs 2",			05000318,DPR-69,PWR,"40 miles S of Annapolis,  MD",Constellation Energy,1
"Catawba 1",			05000413,NPF-35,PWR,"18 miles S of Charlotte, NC","Duke Energy Carolinas, LLC",2
"Catawba 2",			05000414,NPF-52,PWR,"18 miles S of Charlotte, NC","Duke Energy Carolinas, LLC",2
"Clinton",			05000461,NPF-62,BWR,"23 miles SSE of Bloomington, IL","Exelon Generation Co., LLC",3
"Columbia Generating Station",			05000397,NPF-21,BWR,"20 miles NNE of Pasco, WA",Energy Northwest,4
"Comanche Peak 1",			05000445,NPF-87,PWR,"40 miles SW of Fort Worth, TX",TEX Operations Company LLC,4
"Comanche Peak 2",			05000446,NPF-89,PWR,"40 miles SW of Fort Worth, TX",TEX Operations Company LLC,4
"Cooper",			05000298,DPR-46,BWR,"23 miles S of Nebraska City,  NE",Nebraska Public Power District,4
"D.C. Cook 1",			05000315,DPR-58,PWR,"13 miles S of Benton Harbor,  MI",Indiana/Michigan Power Co.,3
"D.C. Cook 2 ",			05000316,DPR-74,PWR,"13 miles S of Benton Harbor,  MI",Indiana/Michigan Power Co.,3
"Davis-Besse",			05000346,NPF-3,PWR,"21 miles ESE of Toledo,  OH",Energy Harbor Nuclear Corp.,3
"Diablo Canyon 1",			05000275,DPR-80,PWR,"12 miles WSW of San Luis Obispo,  CA",Pacific Gas & Electric Co.,4
"Diablo Canyon 2",			05000323,DPR-82,PWR,"12 miles WSW of San Luis Obispo,  CA",Pacific Gas & Electric Co.,4
"Dresden 2",			05000237,DPR-19,BWR,"25 miles SW of Joliet, IL","Exelon Generation Co., LLC",3
"Dresden 3",			05000249,DPR-25,BWR,"25 miles SW of Joliet, IL","Exelon Generation Co., LLC",3
"Farley 1",			05000348,NPF-2,PWR,"18 miles E of Dothan,  AL",Southern Nuclear Operating Co.,2
"Farley 2",			05000364,NPF-8,PWR,"18 miles E of Dothan,  AL",Southern Nuclear Operating Co.,2
"Fermi 2",			05000341,NPF-43,BWR,"25 miles NE of Toledo,  OH",DTE Electric Company,3
"FitzPatrick",			05000333,DPR-59,BWR,"6 miles NE of Oswego,  NY","Exelon FitzPatrick, LLC/Exelon Generation Company, LLC",1
"Ginna",			05000244,DPR-18,PWR,"20 miles NE of Rochester,  NY",Constellation Energy,1
"Grand Gulf 1",			05000416,NPF-29,BWR,"20 miles S of Vicksburg,  MS","Entergy Nuclear Operations, Inc.",4
"Hatch 1",			05000321,DPR-57,BWR,"20 miles S of Vidalia, GA","Southern Nuclear Operating Co., Inc.",2
"Hatch 2",			05000366,NPF-5,BWR,"20 miles S of Vidalia, GA","Southern Nuclear Operating Co., Inc.",2
